Date,Team1,Team2,Team3,Team4,Team5
Dec 15, 2024,"Warriors: Dennis Schröder","Nets: De’Anthony Melton; Reece Beekman",,,
Dec 15, 2024,"Pacers: Thomas Bryant","Heat: Draft Compensation",,,
Dec 29, 2024,"Lakers: Dorian Finney-Smith; Shake Milton","Nets: D’Angelo Russell; Maxwell Lewis",,,
Jan 15, 2025,"Suns: Nick Richards","Hornets: Josh Okogie",,,
Feb 1, 2025,"Clippers: Drew Eubanks; Patty Mills","Jazz: Mo Bamba; P.J. Tucker",,,
Feb 2, 2025,"Lakers: Luka Dončić; Maxi Kleber; Markieff Morris","Mavericks: Anthony Davis; Max Christie","Jazz: Jalen Hood-Schifino",,
Feb 2, 2025,"Spurs: De’Aaron Fox; Jordan McLaughlin","Kings: Zach LaVine; Sidy Cissoko","Bulls: Zach Collins; Kevin Huerter; Tre Jones",,
Feb 4, 2025,"Mavericks: Caleb Martin","76ers: Quentin Grimes",,,
Feb 5, 2025,"Kings: Jonas Valančiūnas","Wizards: Sidy Cissoko",,,
Feb 5, 2025,"Thunder: Daniel Theis","Pelicans: Draft Compensation",,,
Feb 6, 2025,"Wizards: Marcus Smart; Colby Jones; Alex Len","Grizzlies: Marvin Bagley III; Johnny Davis","Kings: Jake LaRavia",, 
Feb 6, 2025,"Raptors: Brandon Ingram","Pelicans: Bruce Brown; Kelly Olynyk",,,
Feb 6, 2025,"Warriors: Jimmy Butler","Heat: Andrew Wiggins; Kyle Anderson","Jazz: Josh Richardson; KJ Martin","Pistons: Dennis Schröder; Lindy Waters III",
Feb 6, 2025,"Raptors: P.J. Tucker","Heat: Davion Mitchell",,,
Feb 6, 2025,"Cavaliers: De’Andre Hunter","Hawks: Caris LeVert; Georges Niang",,,
Feb 6, 2025,"Lakers: Mark Williams","Hornets: Dalton Knecht; Cam Reddish",,,
Feb 6, 2025,"Bucks: Kyle Kuzma; Jericho Sims","Wizards: Khris Middleton; AJ Johnson","Knicks: Delon Wright","Spurs: Patrick Baldwin Jr.",
Feb 6, 2025,"Clippers: Bogdan Bogdanović","Hawks: Terance Mann; Bones Hyland",,,
Feb 6, 2025,"Bucks: Kevin Porter Jr.","Clippers: MarJon Beauchamp",,,
Feb 6, 2025,"Hornets: Jusuf Nurkić","Suns: Cody Martin; Vasilije Micić",,,
Feb 6, 2025,"Wizards: Reggie Jackson","76ers: Jared Butler",,,
Feb 6, 2025,"Rockets: Cody Zeller","Hawks: Draft Compensation",,,
Feb 6, 2025,"Rockets: Jaden Springer","Celtics: Draft Compensation",,,
